a;that
allantoid a ɛwɔ nipadua no mu;allantoid
allantoin a wɔde di dwuma;allantoin
allative;allative
allative asɛm a ɛfa asɛm no ho;allative case
allay;allay
allele;allele
alleluia a ɛyɛ fɛ;alleluia
allene;allene
allergen a ɛma obi ho yɛ no hyew;allergen
allergic a ɛma obi ho yɛ no hyew;allergic
allergy a ɛma obi ho yɛ no hyew;allergy
alley no so;alley
allicin a wɔde yɛ aduru;allicin
allied akwahosan;allied health
alliteration a wɔde di dwuma;alliteration
allo- .;allo-
allochthonous a ɛwɔ hɔ;allochthonous
allodium a wɔde yɛ aduru;allodium
allogamy a wɔde di dwuma;allogamy
allomorph a ɛyɛ allomorph;allomorph
allophone a wɔfrɛ no allophone;allophone
allose;allose
allot;allot
allotrope a wɔde yɛ ade;allotrope
allotropic a ɛyɛ aduru;allotropic
alloy a wɔde afrafra;alloy
allspice a wɔde yɛ nneɛma;allspice
allusion;allusion
allusive a ɛkyerɛ biribi;allusive
alluvial asasetaw;alluvial plain
alluvial fan a ɛyɛ fɛ;alluvial fan
alluvium a wɔde yɛ nneɛma;alluvium
ally;ally
allyl;allyl
allyl nsa a wɔde yɛ nsa;allyl alcohol
allylic a wɔfrɛ no allylic;allylic
alma;Alma
alma mater na ɛwɔ hɔ;alma mater
almagest na ɛyɛ;almagest
almagra na ɛwɔ hɔ;almagra
almanac a wɔde di dwuma;almanac
almaty na ɔkyerɛwee;Almaty
almería na ɛwɔ hɔ;Almería
almond a wɔde yɛ aduan;almond paste
almond a wɔde yɛ nneɛma;almond
almond dua;almond tree
almond nufusu;almond milk
almoravidfo na wɔkyerɛwee;Almoravid
aloe;aloe
aloe vera a wɔde yɛ aduru;aloe vera
aloin;aloin
aloof;aloof
alpaca a wɔfrɛ no alpaca;alpaca
alpenglow a wɔde kyerɛw nsɛm;alpenglow
alpha abɔde mu nneɛma nketenkete;alpha particle
alphecca na ɔkyerɛwee;Alphecca
alphorn a wɔde di dwuma;alphorn
alpine chough a ɛwɔ hɔ;alpine chough
alpine so;Alpine
alps alps so na ɛwɔ hɔ;Alps
alsace na ɛwɔ hɔ;Alsace
alsatianfo a wɔyɛ adwuma wɔ hɔ;Alsatian
altai ɔmanpanyin;Altai Republic
altair na ɔkyerɛwee;Altair
alter;alter
alter ego a wɔsakra no;alter ego
alterity a ɛsakra;alterity
alternate;alternate
alternator a wɔde yɛ adwuma;alternator
althorn a ɛyɛ den;althorn
altimeter a ɛkyerɛ sɛnea ɛhɔ yɛ hyew;altimeter
altitude yareɛ a ɛba;altitude sickness
alto;alto
alto saxophone a wɔde bɔ nnwom;alto saxophone
altocumulus a wɔfrɛ no altocumulus;altocumulus
altostratus a wɔde kyerɛw nsɛm;altostratus
altrose a wɔde yɛ adwuma;altrose
alum;alum
aluminium a wɔde ayɛ krataa;aluminium foil
aluminium a wɔde yɛ adwuma;aluminous
aluminium a wɔde yɛ nneɛma;aluminium
aluminium oxide a wɔde yɛ nneɛma;aluminium oxide
aluminosilicate a wɔde yɛ ade;aluminosilicate
alumna a ɔyɛ ɔkyerɛkyerɛfo;alumna
alumnus a ɔyɛ ɔkyerɛkyerɛfo;alumnus
alunite a ɛyɛ den;alunite
alveolar a ɛwɔ nipadua no mu;alveolar
alveolus a ɛwɔ nipadua no mu;alveolus
alzheimer yare a ɛma obi nya ɔyare;Alzheimer's disease
ama;given
ama dwom bi;for a song
ama kyerɛwtohɔ no;for the record
ama nsakrae aba;for a change
ama papa;for good
ama susudua pa;for good measure
amaciation a ɛyɛ mmerɛw;emaciation
amadeus na ɔkyerɛwee;Amadeus
amalgam a wɔde afrafra;amalgam
amalgamate a wɔde afrafra;amalgamate
amalthea na ɔkyerɛwee;Amalthea
amamfõ;desolate
amammerɛ;culture
amammerɛ a ɛne amammerɛ bɔ abira;counterculture
amammerɛ a ɛyɛ sum;dark culture
amammerɛ ahorow a ɛfa nnipa ahorow ho;multiculturalism
amammerɛ ahorow ntam;intercultural
amammerɛ ahorow pii mufo;multicultural
amammerɛ ho adesua;cultural studies
amammerɛ ho nimdeɛ;acculture
amammerɛ ho ɔyɛfo;culturemaker
amammerɛ kwan so ade;culture medium
amammerɛ mu;cultural
amammerɛ mu;cultured
amammerɛ mu ahodwiriw;culture shock
amammerɛ mu ahonyade;cultural wealth
amammerɛ mu nipasu;cultural identity
amammerɛ mu nneɛma a wɔde di dwuma;acculturation
amammerɛ mu nsakrae;transculturation
amammerɛ mu ɔsesɛw;Cultural Revolution
amammui kuw;political party
amammui mu nea ɛteɛ;politically correct
amammuisɛm;politics
amammuisɛm;polity
amammuisɛm ho ɔbenfo;political scientist
amammuisɛm mu;political
amammuisɛm mu ɔdeduani;political prisoner
aman;glue
aman a wɔba fam;Low Countries
aman a wɔka bom yɛ adwuma;commonwealth
aman ntam;interstate
aman ntam nkitahodi;diplomacy
aman ntam nkitahodi ho nhyehyɛe;diplomatic
aman ntam nkitahodi mu ahobammɔ;diplomatic immunity
aman pii a wɔyɛ adwuma wɔ hɔ;multinational
amanaman apam;League of Nations
amanaman mufo;gentile
amanaman nkabom ahobammɔ bagua;UN Security Council
amanaman nkabom no;United Nations
amanaman ntam ho nimdefo;internationalist
amanaman ntam mmara;international law
amanaman ntam nkitahodi;Internationale
amanaman ntam nkitahodi;internationalism
amanaman ntam nkitahodi;internationalization
amanaman ntam nkitahodi;internationalize
amanaman ntam nsu ahorow;international waters
amanda na ɔkyerɛwee;Amanda
amanedeɛ;submission
amanehunu;adversity
amanehunu;afflict
amanehunu;affliction
amanehunu;afflictive
amanehunu;misery
amanehunu;ordeal
amanehunufo;sufferer
amaneɛ;custom
amaneɛbɔ;report
amanita;amanita
amanne;rite
amanne a wɔde twa kwan;rite of passage
amanne ahorow a etwa to;last rites
amanne bo a ɛsom;customs value
amanne ho nsɛm;folkloristics
amanne kwan so;ceremonial
amanne kwan so;conventional
amanne kwan so;customary
amanne kwan so;ritual
amanne kwan so anansesɛm;folktale
amanne kwan so fie;custom house
amanne kwan so nsusuwii;conventionalism
amanne kwan so nsɛm;folklorism
amanne kwan so nsɛmfua nkyerɛase;folk etymology
amanne nnwom;folk music
amanneɛ;customs
amanneɛ;tradition
amanneɛbɔ;notification
amanneɛbɔ a wɔde ma;reportage
amanneɛbɔ a ɛyɛ hu;breaking news
amanneɛbɔ adwumayɛbea;intelligence agency
amanneɛbɔ bere;notice period
amanneɛbɔ krataa;report card
amanneɛbɔ kyerɛwpon so;bulletin board
amanneɛbɔ mmere;Information Age
amanneɛbɔfo;reporter
amanneɛbɔfo panyin;customs officer
amannɔne;overseas
amannɔne amammuisɛm;foreign policy
amannɔne kasa;foreign language
amannɔne nsɛm ho ɔsoafo;foreign minister
amannɔne sika a wɔde di dwuma;foreign currency
amannɔne sika a wɔde di dwuma;foreign exchange
amannɔne ɛka a wɔbɔ;foreign debt
amannɔnefo a wɔte hɔ;expatriate
amansan;international
amansan a ɛne ne ho di nsɛ;parallel universe
amansan bere;Universal Time
amansan ho adesua;cosmological
amansan ho adesua;cosmology
amansan ho ɔbenfo;cosmologist
amansan mmara;constitution
amansan mu hann;cosmic ray
amansan mu mfutuma;cosmic dust
amansan no mu;universe
amansan nsanyareɛ;pandemic
amansan nyinaa;cosmos
amansan nyinaa bo a ɛsom;universal value
amansan nyinaa de;universal
amansan nyinaa ho nimdeɛ;cosmogony
amansan nyinaa mu;cosmic
amansan nyinaa mu nneɛma;universality
amansan nyinaa mufo;cosmopolite
amansan serial bɔs a wɔde di dwuma;Universal Serial Bus
amansin a wɔpaw no;constituency
amanuensis a wɔfrɛ no amanuensis;amanuensis
amaranth a wɔfrɛ no amaranth;amaranth
amaretto;amaretto
amaryllis a wɔfrɛ no amaryllis;amaryllis
amaterasu;Amaterasu
amateur a ɔyɛ amateur;amateur
amateurish a wɔyɛ amateurfo;amateurish
amaxophobia a ɛyɛ hu;amaxophobia
amazon;Amazon
amazonas a ɛwɔ hɔ;Amazonas
amazonfo de;Amazonian
amazonfo ntɛtea a wɔde wɔn ho hyɛ mu;Amazonian antshrike
amazonite a wɔde yɛ adwuma;amazonite
amban;amban
amber a ɛyɛ fɛ;amber
ambergris a wɔfrɛ no ambergris;ambergris
ambiance a ɛwɔ hɔ;ambiance
ambidextrous a ɛwɔ afã abien;ambidextrous
ambigram a ɛyɛ ambigram;ambigram
ambit;ambit
amble;amble
amblyopia a ɛma obi ho yɛ hyew;amblyopia
ambrose na ɔkyerɛwee;Ambrose
ambrosia a wɔfrɛ no ambrosia;ambrosia
ambulance a wɔde fa nnipa;ambulance
ambulatory a wɔde nantew;ambulatory
ambulophobia a ɛyɛ hu;ambulophobia
ambush a wɔde bɛbɔ wɔn ho ban;ambush
ameban;ameban
amelia na ɔkyerɛwee;Amelia
ameliorate;ameliorate
amelioration a wɔde ma;amelioration
ameloblast a wɔde hyɛ nipadua mu;ameloblast
amelogenin a wɔde yɛ aduru;amelogenin
amemene a wɔabɔ apete;scatterbrain
amemene a wɔhohoro;brain-washing
amemene a ɛwɔ akyirikyiri;peripheral brain
amemene akyi;afterbrain
amemene mu;cerebral
amemene mu;cerebrum
amemene mu ahohoro;brainwash
amemene mu kokoram;brain cancer
amemene mu nhwehwɛmu;encephalography
amemene mu nkwammoaa;brain cell
amemene mu nsenia;brain mushroom
amemene mu nsu a ɛkɔ nipadua no mu;brain drain
amemene mu nsu a ɛwɔ akyi;cerebrospinal fluid
amemene mu ntini;brain stem
amemene mu ntini;cerebellum
amemene mu ntini;encephalon
amemene mu ntini a ɛwɔ nipadua no mu;cerebral cortex
amemene mu yare;encephalitis
amemene mu yare;encephalopathy
amemene mu yare a ɛyɛ mmerɛw;cerebral palsy
amemene no fã a ɛwɔ nipadua no mu;cerebral hemisphere
amemene no mfinimfini;midbrain
amemene- .;encephalo-
amemenemfe;reluctant
amen;amen
amen;satisfied
amena donkodonko;pit
amena mu;pothole
amena mu;trench
amenable;amenable
amene obi;strangle
amenity a ɛyɛ anigye;amenity
amenorrhoea a ɛyɛ mmerɛw;amenorrhoea
americium a wɔde yɛ aduru;americium
amerika aman;Americas
amerika atifi fam;North America
amerika atifi fam;North American
amerika bulldog a ɔyɛ ɔkraman;American Bulldog
amerika bɔɔlbɔ;American football
amerika kesee fam;South America
amerika kesee fam;South American
amerika mfinimfini fam;Central America
amerika mfinimfini fam;Central American
amerika samoa;American Samoa
amerika ɔmanko;American Civil War
amerikafo a wɔde wɔn ho hyɛ mu;Americanisation
amerikafo a wɔde wɔn ho hyɛ mu;Americanize
amerikafo a wɔyɛ wɔn ade;Americanism
amerikafo aduru a wɔde yɛ sweetgum;American sweetgum
amerikafo aloe a wɔfrɛ no aloe;American aloe
amerikafo badger a wɔfrɛ no badger;American badger
amerikafo bison a wɔfrɛ no bison;American bison
amerikafo engiresi kasa;American English
amerikafo kestrel a wɔfrɛ no kestrel;American kestrel
amerikani;American
amerikani indiani;American Indian
amerindian kasa;Amerindian
ameritus a wɔfrɛ no emeritus;emeritus
amethyst a wɔde kyerɛw nsɛm;amethyst
amharic kasa mu;Amharic
amiability;amiability
amiable;amiable
amiably;amiably
amianthus a wɔfrɛ no amianthus;amianthus
amide a wɔde yɛ adwuma;amide
amidine a wɔde di dwuma;amidine
amine;amine
amino;amino
amino acid a ɛho hia;essential amino acid
amino acid a ɛwɔ nipadua no mu;amino acid
aminoacyl a wɔfrɛ no aminoacyl;aminoacyl
aminobenzoate a wɔde yɛ aduru;aminobenzoate
aminobenzoic acid a wɔde yɛ aduru;aminobenzoic acid
aminogram a wɔde kyerɛw nsɛm;aminogram
amiodarone a wɔde yɛ aduru;amiodarone
amiss;amiss
amitotic a ɛyɛ adwuma;amitotic
amma;absent
amman;Amman
ammeter;ammeter
ammonal a wɔde di dwuma;ammonal
ammonia a wɔde yɛ nneɛma;ammonia
ammoniac a wɔde di dwuma;ammoniac
ammonite a wɔde yɛ nneɛma;ammonite
ammonium a wɔde yɛ nneɛma;ammonium
ammɔ din;anonymise
amnesia a ɛma obi kae ade;amnesia
amnesic a ɛma obi kae ade;amnesic
amnion a ɛwɔ nipadua no mu;amnion
amniotic a ɛma nipadua no yɛ adwuma;amniotic
amoeba a wɔfrɛ no amoeba;amoeba
amoebic a wɔde di dwuma;amoebic
amok;amok
amonom hɔ ara;instantaneously
amonom hɔ ara;instantly
amorous a wɔde di dwuma;amorous
amortize a wɔde tua ka;amortize
amos;Amos
ampa;truly
ampa ara;indeed
ampa ara;of course
ampa ara;verily
ampa ara se;surely
ampelographic a wɔde kyerɛ;ampelographic
ampelography a wɔde yɛ adwuma;ampelography
ampere a ɛyɛ den;ampere
ampersand a wɔde yɛ adwuma;ampersand
amphetamine a wɔde di dwuma;amphetamine
amphibole a wɔfrɛ no amphibole;amphibole
amphictyon, a ɛyɛ hu;amphictyon
amphipathic a wɔde di dwuma;amphipathic
amphiprostyle a wɔde yɛ aduru;amphiprostyle
amphora a wɔde di dwuma;amphora
amphoteric a wɔde di dwuma;amphoteric
ample;ample
amplification a wɔde ma;amplification
amplifier a ɛma nneɛma yɛ kɛse;amplifier
amplify;amplify
amplitude a wɔsakra no;amplitude modulation
amplitude a ɛyɛ den;amplitude
amply;amply
ampoule a wɔde hyɛ nipadua mu;ampoule
ampɛkasa;introvert
amrado;governess
amrado;governor
amrado a ɔyɛ ɔmanpanyin;gubernatorial
amrado panyin;governor general
amrado-panyin;governor-general
amritsar na ɔkyerɛwee;Amritsar
amsterdam;Amsterdam
amsterdamer na ɔkyerɛwee;Amsterdamer
amu a wɔhyew no;cremation
amu darya;Amu Darya
amulet a wɔde di dwuma;amulet
amumuyɔ;crime
amumɔyɛ;iniquity
amumɔyɛfo;iniquitous
amumɔyɛfo;terrorist
amumɔyɛsɛm;terrorism
amun;Amun
amur;Amur
amusiei;entomb
amusiei;graveyard
amusiei;interment
amusiei a wɔde hyɛ mu;mausoleum
amusiei dan;burial chamber
amuzgo na ɔkyerɛwee;Amuzgo
amygdala a ɛwɔ nipadua no mu;amygdala
amyl nsa a wɔnom;amyl alcohol
amylase a wɔfrɛ no amylase;amylase
amyloid a ɛwɔ nipadua no mu;amyloid
amyloidosis a ɛwɔ nipadua no mu;amyloidosis
amylopectin a wɔde yɛ aduru;amylopectin
amyloplast a wɔde yɛ aduru;amyloplast
amylose a ɛyɛ den;amylose
amyotrophy a ɛma nipadua no yɛ adwuma;amyotrophy
anaa;nor
anaafoɔ;south
anaasɛ;or
anaasɛ ɛnte saa;or else
anabaptism;Anabaptism
anabaptistni;Anabaptist
anabasine a wɔde di dwuma;anabasine
anabasis a wɔde di dwuma;anabasis
anabolic a wɔde yɛ ade;anabolic
anabolism a wɔde di dwuma;anabolism
anachronism a ɛnyɛ bere mu de;anachronism
anachronistic ho asɛm;anachronistic
anacoluthon a wɔde di dwuma;anacoluthon
anaconda na ɛyɛ anaconda;anaconda
anacrusis a ɛyɛ mmerɛw;anacrusis
anadiplosis a ɛyɛ mmerɛw;anadiplosis
anadromous a wɔde di dwuma;anadromous
anadwo;at night
anadwo;night
anadwo a awu;dead of night
anadwo a etwaam no;last night
anadwo a wɔde hyɛ;nightcap
anadwo a wɔde yɛ adwuma;night shift
anadwo a ɛyɛ anadwo;nocturne
anadwo a ɛyɛ fɛ;nightfall
anadwo a ɛyɛ sum;twilight
anadwo adeyɛ;nocturnal
anadwo agoprama;nightclub
anadwo anifurae;night blindness
anadwo asetra;nightlife
anadwo atade a wɔde hyɛ;nightgown
anadwo biako;overnight
anadwo biako a wɔde gyina hɔ;one-night stand
anadwo biara;benight
anadwo biara;nightly
anadwo kɔnkɔn;midnight
anadwo mframa a wɔtow gu;nocturnal emission
anadwo mpaboa;nightstand
anadwo ne awia;night and day
anadwo no yɛ abofra;the night is young
anadwo sukuu;night school
anadwo sunsuma;nightshade
anadwo sunsuma a edi awu;deadly nightshade
anadwo yi;tonight
anadwo ɔkraman;night heron
anadwo ɔkraman;night owl
anadyr na ɔkyerɛwee;Anadyr
anafo fam;southern
anafo fam akanea ahorow;southern lights
anafo fam apuei;southeast
anafo fam atɔe;southwest
anafo fam fam;Southern Hemisphere
anafo fam mmeamudua;Southern Cross
anagram a wɔde di dwuma;anagram
anal;anal
anal fin;anal fin
anal nhwiren a wɔde yɛ;anal beads
anal sex;anal sex
analog;analog
analogical;analogical
analogous;analogous
anammɔn a ɛnteɛ;misstep
anammɔn afiri;step machine
anammɔn antweri;step ladder
anammɔn biara;step by step
anammɔntu;footstep
anammɔntuo;stride
anamnesis a wɔde di dwuma;anamnesis
anamɔn;foot
anamɔn;step
anamɔn-;step-
anamɔntuo;action
anamɔntuo;movement
anamɔntuo;operation
anamɔntuo;practice
anamɔntuo;practise
anan;four
anan abien;biped
anan abien a wɔde di dwuma;bipedalism
ananmusifo;delegate
ananmusifo;representative
ananmusifo a wɔde wɔn ho hyɛɛ mu;delegation
ananmusini;agent
ananmusini;substitute
ananse a ne ho yɛ ferruginous;ferruginous duck
ananse a ne ho yɛ nsensanee;freckled duck
ananse a wawu;dead duck
ananse a wɔayɛ no tufted;tufted duck
ananse a ɔrebɔ abɛn;whistling duck
ananse a ɔte hɔ;sitting duck
ananse a ɔyɛ apakye;lame duck
ananse ba;duckling
ananse ba a ne ho yɛ tan;ugly duckling
ananse keeki a wɔde yɛ;pineapple cake
ananse teyp;duck tape
anansesɛm;fable
anansesɛm;tale
anansesɛm mu asɛm;mythical
anansesɛm mu nipa;mythomaniac
anansesɛm mu nsɛm;anecdotal
anansesɛm mu nsɛm;fairy tale
anansesɛm mu nsɛm;folklore
anansesɛm mu nsɛm;folkloric
anansesɛm mu nsɛm;legendary
anansesɛm mu nsɛm;mythify
anansesɛm mu nsɛm;mythology
anansesɛm mu nsɛm;mythomaniacal
anansesɛm mu yare;mythomania
anansesɛm tenten;tall tale
anantwi a wɔfrɛ wɔn egret;cattle egret
anantwi dan;cowshed
anantwinini a wɔko;bullfight
anantwinini a wɔko;bullfighting
anantwinini a wɔko tia ntɔkwaw;antibullfighting
anantwinini atenae;bullring
anantwinini hwɛfo;cattleman
anapa;Anapa
anapest a wɔde di dwuma;anapest
anapestic a wɔde di dwuma;anapestic
anaphase a wɔde di dwuma;anaphase
anaphora a wɔde di dwuma;anaphora
anaphoresis a wɔde di dwuma;anaphoresis
anaphoric a wɔde di dwuma;anaphoric
anaphylactic ahodwiriw a ɛma obi ho dwiriw no;anaphylactic shock
anaphylaxis a ɛma obi ho yɛ hyew;anaphylaxis
anarchic a ɛyɛ hu;anarchic
anarchism a wɔde di dwuma;anarchism
anarchist a ɔyɛ ɔkannifo;anarchist
anarcho-kapitalism a wɔde di dwuma;anarcho-capitalism
anarcho-syndicalism a wɔde di dwuma wɔ ɔkwan a ɛyɛ hu so;anarcho-syndicalism
anasazi na ɔkyerɛwee;Anasazi
anastasia na ɔkyerɛwee;Anastasia
anastrophe a ɛyɛ hu;anastrophe
anastylosis a wɔde yɛ nipadua no;anastylosis
anathema a wɔde ma;anathema
anatolia na ɛwɔ hɔ;Anatolia
anatoliafo;Anatolian
anatolius na ɔkyerɛwee;Anatolius
anatomical ho adesua;anatomical
anatta;anatta
anaximander na ɔkyerɛwee;Anaximander
anaximenes a wɔde yɛ nneɛma;Anaximenes
anchorage a wɔde hyɛ mu;anchorage
anchorite a wɔde di dwuma;anchorite
anchorman a ɔde ne ho hyɛ mu;anchorman
anchovy a wɔfrɛ no anchovy;anchovy
ancillary a ɛyɛ adwuma;ancillary
andalusia na ɛwɔ hɔ;Andalusia
andalusian arabic kasa;Andalusian Arabic
andalusianfoɔ;Andalusian
andalusite a wɔde yɛ nneɛma;andalusite
andes;Andes
andes flamingo a wɔfrɛ no flamingo a wɔfrɛ no flamingo;Andean flamingo
andesfo ɔkraman;Andean cat
andesfoɔ dea;Andean
andesine a wɔde yɛ adwuma;andesine
andhra pradesh na ɛwɔ hɔ;Andhra Pradesh
andiron na ɛyɛ;andiron
andorra a ɛwɔ vella no mu;Andorra la Vella
andorra na ɛwɔ hɔ;Andorra
andorrafo na wɔte saa;Andorran
andrea na ɔkyerɛwee;Andrea
andrew;Andrew
andrewsarchus na ɔkyerɛwee;andrewsarchus
androcentric a ɛwɔ nipadua no mu;androcentric
androecium a ɛma nipadua no yɛ adwuma;androecium
androgen a wɔfrɛ no androgen;androgen
androgenic a wɔde yɛ adwuma;androgenic
androgyne a wɔde hyɛ nipadua mu;androgyne
androgynous a ɛyɛ ɔbarima ne ɔbea nna;androgynous
android a wɔde di dwuma;android
andrology ho adesua;andrology
andromeda na ɔkyerɛwee;Andromeda
androphilia a ɛma obi ho yɛ hyew;androphilia
androphobia a ɛyɛ hu;androphobia
androstenedione a wɔde yɛ aduru;androstenedione
andy na ɔkyerɛwee;Andy
anecdata a wɔde kyerɛw nsɛm;anecdata
anemometer a wɔde kyerɛ sɛnea nipadua no te;anemometer
anemone a wɔfrɛ no anemone;anemone
anestrus a ɛyɛ hu;anestrus
anethole a wɔde yɛ adwuma;anethole
angela na ɔkyerɛwee;Angela
angeleno na ɔkyerɛwee;Angeleno
angelica na ɔkyerɛwee;angelica
angelo na ɔkyerɛwee;Angelo
angina;angina
angina a ɛma obi ho kyere no;angina pectoris
angiogenic a ɛma mogya tu;angiogenic
angiogram a wɔde yɛ nhwehwɛmu;angiogram
angiography a wɔde yɛ nhwehwɛmu;angiography
angioplasty a wɔde yɛ adwuma;angioplasty
angiosperm a ɛwɔ nipadua no mu;angiosperm
angiotensin a wɔde yɛ aduru;angiotensin
angiotensinogen a ɛma mogya tu;angiotensinogen
angkor wat na ɔkyerɛwee;Angkor Wat
angle bisector a ɛwɔ afã abien;angle bisector
angle bracket a ɛwɔ anim;angle bracket
angle grinder a wɔde twitwiw nneɛma;angle grinder
anglia apuei fam;East Anglia
anglicisation a wɔde di dwuma;anglicisation
anglicism;anglicism
anglikan kasa;Anglican
anglikanfo adidi;Anglican Communion
anglikansom;Anglicanism
angling a wɔde wɔn ho hyɛ mu;angling
anglo- .;Anglo-
anglo-amerikafoɔ;Anglo-American
anglo-katolekfo;Anglo-Catholic
anglo-normanfo kasa;Anglo-Norman
anglo-saxonfo kasa;Anglo-Saxon
anglophilia ho asɛm;Anglophilia
anglophone kasa;Anglophone
anglosphere a ɛwɔ hɔ;Anglosphere
angola;Angola
angolafo kasa;Angolan
angst;angst
angstrom a wɔde kyerɛw nsɛm;angstrom
anguilla na ɔkyerɛwee;Anguilla
angular;angular
anhedonia a ɛma obi ho yɛ hyew;anhedonia
anhwea a wɔfrɛ no martin;sand martin
anhwea a wɔfrɛ no sandgrouse;sandgrouse
anhwea a ɛwɔ hɔ;sand dune
anhwea a ɛwɔ hɔ;sandbank
anhwea a ɛyɛ hu;sandstorm
anhwea a ɛyɛ nkwa;quicksand
anhwea abankɛse;sandcastle
anhwea adaka;sandbox
anhwea bag;sandbag
anhwea cat;sand cat
anhwea ho nipa;sandman
anhwea krak;sand crab
anhwea mu nwansena;sandfly
anhweatam;sandstone
anhweatam;sandy
anhweatam so a wɔreyɛ;desertification
anhweatam so kɛkɛ;just deserts
anhydrase a wɔfrɛ no anhydrase;anhydrase
anhydride a wɔde yɛ adwuma;anhydride
anhydrite a wɔde yɛ nneɛma;anhydrite
anhydrobiosis a ɛma nipadua no yɛ adwuma;anhydrobiosis
ani;eye
ani;surface
ani a wɔda;wakefulness
ani a wɔma ɛda hɔ;alertness
ani a wɔma ɛda hɔ;vigilance
ani a ɛyɛ mmerɛw;cornea
ani a ɛyɛ mmerɛw;corneal
ani abere;serious
ani agye;delighted
ani atu atɔ nsam;despair
ani awu;ashamed
ani di akyire;monitor
ani gye ho;interested
ani gyeeɛ;excited
ani ku ho;delight
ani ku ho;passionate
ani nka;bored
ani sɔ;appreciate
ani yɛ nyane;horrible
aniani;shallow
anibere so;gravely
anibere so;solemnly
aniberesɛm;earnest
aniberesɛm;enviable
aniberesɛm;fervent
aniberesɛm;seriously
aniberesɛm;seriousness
aniberesɛm;solemn
aniberesɛm a wɔde di dwuma;solemnity
anibiannaso;apathetic
anibiannaso;apathy
anibiannaso;indifference
anibiannaso;indifferent
anibiannaso;negligent
anibiannaso a wonni;apatheism
anibiannaso a wɔyɛ;neglectful
anibiannaso a wɔyɛ;negligence
anibiannaso a wɔyɛ;recklessness
anibiannaso mu;negligently
anibue;exposure
anibuei;civilise
anibuei;civility
anibuei;civilization
anicca;anicca
anicetus na ɔkyerɛwee;Anicetus
anidahɔ;conscious
anidahɔ;consciousness
anidaso;hopeful
